0.743,1.416,1.543,2.146,3.939,4.748,4.054,4.741,6.156,8.535,10.988,19.784,27.516,38.818,57.09,88.307,136.535,221.582,365.311
0.671,1.303,1.6,2.12,3.975,4.338,4.145,4.689,6.326,8.574,10.984,19.744,27.562,38.913,57.201,88.756,136.055,263.267,368.984
0.678,1.292,1.554,2.132,3.952,4.284,4.066,4.708,6.205,8.658,11.021,19.924,27.06,39.234,57.218,88.409,138.574,255.493,366.127
0.901,1.496,1.544,2.098,3.893,4.298,4.094,4.704,6.293,8.631,11.179,19.93,27.169,39.048,58.21,88.51,135.921,224.519,365.154
0.717,1.593,1.528,2.107,3.923,4.14,4.077,4.755,6.166,8.631,11.079,19.655,27.115,38.872,57.322,90.683,136.178,223.776,368.9
0.706,1.646,1.555,2.092,3.894,4.387,4.114,4.781,6.129,8.536,11.069,19.79,27.45,38.843,56.977,88.624,135.6,221.255,366.66
0.706,1.439,1.542,2.084,3.92,4.321,4.094,4.756,6.151,10.322,11.061,19.717,27.105,39.2,57.113,88.707,136.707,222.636,365.548
0.717,1.343,1.595,2.116,3.954,4.386,4.105,4.689,6.243,8.607,11.037,19.986,27.058,39.055,57.181,88.691,136.568,222.15,369.244
0.726,1.447,1.551,2.09,3.934,4.262,4.111,4.716,6.416,8.51,11.025,20.026,27.132,38.924,57.286,88.468,136.53,221.75,365.377
0.709,1.568,1.54,2.094,3.93,4.332,4.107,4.707,7.738,8.611,10.99,19.838,27.372,38.879,57.033,88.248,139.28,221.929,369.295
0.716,1.63,1.547,2.09,3.962,4.28,4.087,4.708,6.313,8.665,11.169,19.674,27.191,38.864,57.1,88.898,136.045,221.76,366.56
0.708,1.561,1.559,2.121,3.91,6.811,4.088,4.696,6.187,8.567,11.164,19.606,27.139,40.787,57.132,88.403,136.172,226.374,365.472
0.716,1.425,1.544,2.081,3.942,4.383,4.117,4.693,6.148,8.522,11.085,19.73,27.046,39.076,57.144,88.603,136.188,221.72,368.915
0.686,1.55,1.541,2.115,3.949,4.38,4.18,4.723,6.204,8.668,11.011,19.738,27.447,38.817,57.019,88.756,136.209,220.381,366.582
0.698,1.419,1.549,2.123,3.939,4.359,4.124,4.701,6.162,8.536,11.008,19.681,27.148,38.958,57.26,88.486,136.258,221.125,366.737
0.691,1.423,1.569,2.087,4.149,4.239,4.113,4.677,6.163,8.605,11.011,19.836,32.474,38.937,57.479,91.001,136.885,222.773,369.035
0.671,1.338,1.555,2.128,3.986,4.439,4.17,4.687,6.151,8.571,10.976,19.72,27.165,38.802,57.16,88.31,138.155,221.816,365.879
0.677,1.402,1.553,2.251,3.952,4.349,4.101,6.728,6.175,8.616,11.315,19.799,27,39.567,57.051,88.511,136.168,220.857,365.215
0.677,1.385,1.537,2.102,4.005,4.319,4.163,4.747,6.191,8.592,11.151,19.725,27.132,38.987,57.386,88.292,136.166,221.189,369.207
0.689,1.388,1.552,2.12,3.923,4.292,4.118,4.739,6.128,8.534,11.017,19.703,27.037,38.915,57.152,88.452,136.1,220.764,365.921
0.716,1.362,1.542,2.111,3.921,4.647,4.117,4.704,6.145,8.606,10.991,19.601,27.241,39.105,57.966,89.33,135.987,222.043,368.015
0.709,1.454,1.555,2.219,3.941,4.3,4.127,4.737,6.165,8.676,11.038,19.705,27.031,39.11,57.435,88.241,135.828,221.479,366.324
0.683,2.011,1.544,2.152,3.964,4.705,4.105,4.836,6.204,8.692,11.032,19.611,27.149,39.088,56.996,88.808,136.139,221.819,365.409
0.704,1.518,1.533,2.091,3.957,4.818,4.089,4.775,6.161,8.544,11.012,19.832,27.015,38.912,56.947,88.988,136.059,221.398,367.095
